taxa,Env,DON_ppm,Vibe,Manual,Visual,NIR
FL14167LDH.170,FSC19,11.72,29.76,7.6,20,38
FL14167LDH.180,FSC19,22.16,34.57,10.4,15,48
FL14167LDH.180,FSC20,NA,NA,NA,5,43
FL14167LDH.180,WLA20,NA,11.86,8.1,10,66
FL14167LDH.180,WLA20,NA,7.54,7.807807808,10,62
FL14167LDH.242,FSC19,35.4,52.6,20.6,35,82
FL14167LDH.242,FSC19,30.64,50,15.3,35,54
FL14189LDH.115,FSC19,35.36,45.65,16.4,35,75
FL14189LDH.115,FSC19,15.24,33.08,9.7,25,46
FL15105.LDH018,FSC20,NA,NA,NA,5,36
FL15105.LDH018,WLA20,NA,10.69,8.835341365,15,33
FL15105.LDH039,FSC20,NA,NA,NA,5,35
FL15105.LDH039,WLA20,NA,18.27,14.01401401,10,46
FL15105.LDH084,FSC20,NA,NA,NA,5,32
FL15105.LDH084,WLA20,NA,12.58,12.11211211,30,36
FL15105.LDH086,FSC20,NA,NA,NA,0,34
FL15105.LDH086,WLA20,NA,14.6,19.87891019,35,49
FL15105.LDH092,FSC20,NA,NA,NA,5,36
FL15105.LDH092,WLA20,NA,14.69,13.06532663,30,49
FL15105.LDH110,FSC20,NA,NA,2.4,5,38
FL15105.LDH110,WLA20,NA,8.58,7.892107892,15,58
FL15105.LDH110,WLA20,NA,8.64,6.906906907,15,57
FL15105.LDH111,FSC20,NA,NA,3.6,5,37
FL15105.LDH111,WLA20,NA,18.6,20.78313253,30,51
FL15105.LDH145,FSC20,NA,NA,NA,0,31
FL15105.LDH145,WLA20,NA,6.49,10.68931069,25,52
FL15105.LDH145,WLA20,NA,11.14,8.551307847,5,56
FL15105.LDH159,FSC20,NA,NA,NA,5,37
FL15105.LDH159,WLA20,NA,11.73,16.83366733,35,45
FL15105.LDH168,FSC20,NA,NA,2.5,5,38
FL15105.LDH168,WLA20,NA,20.21,19.97991968,25,52
FL15105.LDH177,FSC20,NA,NA,NA,0,35
FL15105.LDH177,WLA20,NA,12.08,14.52905812,25,51
FL15105.LDH182,FSC20,NA,NA,0.7,5,46
FL15105.LDH182,WLA20,NA,15.9,15.23046092,30,48
FL15105.LDH253,FSC20,NA,0,NA,0,29
FL15105.LDH253,WLA20,NA,15.82,19.13827655,20,43
FL15105.LDH261,FSC20,NA,NA,NA,5,32
FL15105.LDH261,WLA20,NA,17.31,11.6,10,41
FL16009LDH.16.1PLANT,FSC20,NA,NA,NA,10,32
FL16009LDH.16.1PLANT,WLA20,NA,16.76,25.8,40,58
FL16045LDH.25,FSC20,NA,NA,NA,5,38
FL16045LDH.25,WLA20,NA,12.95,12.71271271,50,61
FL16045LDH.98,FSC20,NA,NA,NA,10,31
FL16045LDH.98,WLA20,NA,24.39,26.95390782,70,53
FLLA10033C.6,FSC20,NA,NA,NA,5,38
FLLA10033C.6,FSC20,NA,NA,21.5,65,62
FLLA10033C.6,FSC20,NA,NA,10.8,55,39
FLLA10033C.6,WLA20,NA,18.27,11.48851149,5,59
FLLA10033C.6,WLA20,NA,15.64,16.81681682,10,52
FLLA10144C.3,FSC19,18.92,21.85,8.1,15,42
FLLA10144C.3,FSC19,11.72,15.83,4.3,10,48
FLLA10204C.6,FSC19,23.36,35.63,9.7,25,57
FLLA10204C.6,FSC19,18.96,24.74,9.4,15,60
FLLA11004.7,FSC19,12.44,15.41,5.5,10,47
FLLA11004.7,FSC20,NA,NA,NA,15,22
FLLA11004.7,WLA20,NA,4.83,7.477567298,5,58
FLLA11004.7,WLA20,NA,4.77,5.616850552,5,59
FLLA11198.6,FSC19,37.52,37.59,11.8,15,61
FLLA11198.6,FSC19,6.76,26.1,5,15,43
FLLA12080LDH.104,FSC19,15.48,15.18,4.4,10,26
FLLA12080LDH.104,FSC20,NA,NA,NA,10,34
FLLA12080LDH.104,WLA20,NA,8.69,16.03206413,10,65
FLLA12080LDH.104,WLA20,NA,6.26,5.030181087,10,71
FLLA12088SB.8,FSC19,54.24,63.4,31.4,60,96
FLLA12088SB.8,FSC19,33.76,62.37,22.1,NA,59
GA.111055.1.2.3.1.19LE12,FSC20,NA,NA,NA,20,44
GA.111055.1.2.3.1.19LE12,WLA20,NA,13.37,13.88611389,30,49
GA.12156.12.1.3.19LE11,FSC20,NA,NA,8.6,5,51
GA.12156.12.1.3.19LE11,WLA20,NA,4.47,7.923771314,15,56
GA.18ADH33F,FSC19,20.68,15.26,11.3,15,46
GA.18ADH33F,WVA19,5.24,15.67,10.19,20,54
GA.18ADH33F,WVA19,4.2,13.91,6.7,15,50
GA.18ELDH29F,FSC19,13.76,13.36,6.7,10,44
GA.18ELDH29F,FSC19,10.72,14.61,5.5,10,53
GA.18ELDH29F,WVA19,3.8,12.65,4.2,5,34
GA.18ELDH29F,WVA19,1.92,14.41,6.19,5,42
GA.18ESC41F,FSC19,11.68,13.65,4.3,15,33
GA.18ESC41F,FSC19,1.24,7.67,1.4,5,44
GA.18ESC41F,WVA19,2.36,12.93,2.73,0,36
GA.18ESC41F,WVA19,1.28,31.34,7.72,5,49
GA.18LE43F,FSC19,9.76,13.4,3.7,10,38
GA.18LE43F,FSC19,4.8,5.57,2.2,5,58
GA.18LE43F,WVA19,3.96,5.87,4.1,10,50
GA.18LE43F,WVA19,1.72,6.74,4.17,5,51
GA.18LE46,FSC19,20.28,28.38,35,30,46
GA.18LE46,FSC19,9.76,14.69,4.6,10,47
GA.18LE46,WVA19,6.68,24.83,11.45,25,38
GA.18LE46,WVA19,4.36,26.45,14.6,30,46
GA09129.16E55,FSC20,NA,NA,23,70,69
GA09436.16LE12,FSC20,NA,NA,14.4,10,46
GA09589.17E22,FSC19,34.2,47.44,35.6,35,61
GA09589.17E22,FSC19,32.52,44.43,11,25,56
GA101004.17LE17,FSC19,27.6,34.7,17.9,35,68
GA101004.17LE17,FSC19,12.36,16.65,22,20,92
GA101004.17LE17,FSC20,NA,NA,NA,15,48
GA101263.17LE19,FSC19,41.24,57.14,18,35,68
GA101263.17LE19,FSC19,27.56,39.69,12.4,25,45
GA10127.18E26,FSC19,35.8,46.18,13.6,25,85
GA10127.18E26,FSC20,NA,NA,11.5,5,30
GA10127.18E26,FSC20,NA,NA,6.4,15,30
GA10127.18E26,WLA20,NA,9.08,9.036144578,5,74
GA10127.18E26,WLA20,NA,5.56,6.106106106,5,70
GA101298.17LE11,FSC19,39.6,48.19,26.4,45,78
GA101298.17LE11,FSC20,NA,NA,NA,15,48
